qbeam	Lateral Force (kN)
-0.143057544	-58.43
-0.169186475	-68.52
-0.201274719	-78.9
-0.215647552	-89.11
-0.239457207	-99.27
-0.266846496	-109.31
-0.284745984	-119.35
-0.31440102	-129.49
-0.325826618	-139.83
-0.363798614	-149.78
-0.378697803	-160.36
-0.358375417	-150.03
-0.336495896	-138.23
-0.30498904	-127.83
-0.285638157	-117.4
-0.2501985	-107.67
-0.227226291	-97.24
-0.208229373	-86.89
-0.179647201	-76.54
-0.162435316	-66.51
-0.120965817	-56.53
-0.117757211	-46.52
-0.07828708	-36.73
-0.055959775	-26.61
-0.031958287	-16.75
-0.014829951	-7.15
0.005888254	2.69
0.050065438	12.21
0.069250868	22.43
0.088196141	32.87
0.089322117	42.89
0.140999617	52.72
0.144608406	62.83
0.16332547	72.86
0.200774751	83.05
0.215678912	92.89
0.242243591	102.86
0.274922318	112.41
0.298954377	122.41
0.317278275	132.16
0.33522135	142.66
0.353853752	152.92
0.380394201	162.7
0.360931788	152.5
0.346619679	141.83
0.309229664	131.58
0.28298281	121.5
0.249105591	111.52
0.247578057	101.41
0.209026788	91.58
0.176504223	81.52
0.161641279	71.49
0.14904002	61.22
0.106473963	51.17
0.087968179	41.34
0.064736255	31.27
0.046265521	20.76
0.025976365	10.57
-0.007624834	1.07
-0.015104843	-8.87
-0.191475912	-80.3
-0.200742286	-88.43
-0.245320153	-99.14
-0.256156388	-109.39
-0.295131395	-119.15
-0.310450535	-129.54
-0.33517368	-139.59
-0.360474627	-150.01
-0.384699106	-160.13
-0.357495798	-149.25
-0.326156287	-138.28
-0.294967452	-127.85
-0.275012316	-117.57
-0.251054596	-107.47
-0.224744084	-97.23
-0.207994131	-86.82
-0.175824292	-76.6
-0.156351375	-66.46
-0.120211324	-56.56
-0.110584479	-46.65
-0.074200045	-36.74
-0.056261246	-26.79
-0.036983761	-16.91
-0.008327006	-7.06
0.024959428	2.76
0.021753024	12.38
0.064724108	22.47
0.088831052	33.08
0.106669495	42.88
0.123186224	53.05
0.164223901	62.81
0.1808848	72.91
0.203512011	83.08
0.230509539	92.74
0.249160321	102.89
0.253503013	112.56
0.295091441	122.52
0.306665477	132.49
0.351060303	142.48
0.35636611	152.71
0.37572478	162.91
0.380329431	152.63
0.342919628	141.86
0.306644991	131.89
0.27162811	121.56
0.256744839	111.71
0.236011549	101.58
0.187870221	91.66
0.193900045	81.5
0.159779207	71.53
0.151717068	61.43
0.115050909	51.11
0.089022942	41.44
0.070923946	31.24
0.028107357	20.92
0.012051644	10.68
-0.008320754	0.99
-0.035956603	-8.92
-0.056061169	-18.59
-0.089121964	-28.45
-0.102104559	-38.35
-0.125988491	-48.59
-0.149102691	-58.37
-0.165898265	-68.54
-0.188222898	-78.94
-0.208123405	-88.88
-0.245637896	-98.92
-0.265200826	-109.32
-0.279941792	-119.22
-0.306768262	-129.5
-0.33465946	-140
-0.364153072	-149.94
-0.387903916	-160.37
-0.341589059	-149.33
-0.332109196	-138.5
-0.300245078	-127.85
-0.283344279	-117.54
-0.245445072	-107.54
-0.226392833	-97.19
-0.19684159	-86.95
-0.177581256	-76.5
-0.147273048	-66.21
-0.130583074	-56.36
-0.118412939	-46.65
-0.06261419	-36.64
-0.063576246	-26.46
-0.039016418	-16.87
-0.020010844	-6.98
-0.002781138	2.78
0.040796493	12.53
0.070694086	22.62
0.094368197	32.94
0.135043857	42.81
0.114308059	52.78
0.164878493	63.03
0.182099881	72.96
0.224033015	82.85
0.236437181	92.93
0.24018031	102.79
0.270777617	112.76
0.288650386	122.46
0.316649746	132.41
0.359226565	142.67
0.366507162	152.83
0.385476818	162.89
0.409429838	172.79
0.444304797	182.91
0.440105857	193.01
0.407051387	202.85
0.501994014	212.62
0.542335847	222.42
0.559607494	232.13
0.590015351	241.83
0.542884903	227.36
0.518298703	217.22
0.494108208	207.28
0.46799221	197.08
0.428799175	187.19
0.402349876	176.87
0.411590667	167.11
0.357777498	157.2
0.34142906	147
0.315063888	136.89
0.291355352	127.1
0.270810562	117.29
0.243851767	107.41
0.224239976	97.44
0.199188119	87.74
0.187422784	77.39
0.163314057	67.51
0.138311677	57.51
0.102124111	47.49
0.085260672	37.89
0.06886285	27.44
0.052470409	16.97
0.017172538	7.38
-0.01544531	-2.25
-0.026423428	-12.1
-0.049347109	-22.07
-0.08840142	-31.93
-0.107026303	-42.03
-0.126356128	-51.67
-0.136936098	-61.66
-0.162143672	-71.79
-0.208672289	-82.02
-0.223371881	-92.35
-0.249305356	-102.07
-0.267722728	-112.46
-0.281435023	-122.52
-0.315509385	-132.66
-0.328413893	-142.9
-0.353084531	-153.17
-0.382565455	-163.06
-0.40531032	-173.09
-0.427888526	-183.2
-0.444198806	-193.57
-0.473420019	-203.51
-0.498417882	-213.04
-0.511502375	-222.98
-0.543023026	-232.73
-0.564187611	-242.28
-0.545758198	-227.7
-0.516211951	-216.9
-0.491047702	-206.64
-0.460001532	-196.59
-0.447145029	-186.1
-0.425894993	-176.04
-0.394354913	-165.38
-0.358329175	-155.27
-0.352609884	-144.93
-0.31802458	-134.71
-0.292458223	-124.42
-0.273041324	-114.18
-0.246553537	-104.08
-0.217455508	-94.16
-0.192998747	-83.92
-0.180928115	-73.93
-0.158594545	-63.94
-0.115622534	-53.98
-0.11529452	-43.94
-0.082472413	-34.15
-0.069036836	-24.41
-0.032342468	-14.58
-0.014907318	-4.68
0.008394322	5.1
0.047588262	14.44
0.054696626	24.64
0.078235497	35.04
0.09687744	45.04
0.125406982	54.89
0.159620515	64.84
0.169827164	74.89
0.215023077	84.68
0.227529822	94.49
0.234446594	104.75
0.279864511	114.34
0.283310667	124.46
0.319409407	133.97
0.341483999	144.02
0.362611617	154.22
0.380907024	164.03
0.395050377	173.92
0.420780167	184.16
0.456686796	193.96
0.470995913	203.81
0.50361288	213.93
0.546446184	223.69
0.53728125	233.83
0.581222449	243.83
0.551122621	231.43
0.517246241	221.46
0.484698376	211.11
0.460654036	200.99
0.434334196	191.01
0.40323589	180.88
0.375133452	170.96
0.364185001	160.92
0.33585503	151.08
0.31809608	141.35
0.295246686	131.29
0.263511458	121.3
0.241811334	111.2
0.211983539	101.38
0.210076643	91.45
0.16649085	81.67
0.156236472	71.77
0.125920312	61.65
0.082278039	51.66
0.089082826	41.53
0.056149792	31.82
0.042836589	21.18
0.01007852	10.99
-0.010506698	1.82
-0.041390504	-7.99
-0.068427193	-17.79
-0.078705761	-27.65
-0.106912859	-37.64
-0.131797613	-47.82
-0.156141223	-57.66
-0.170531146	-67.58
-0.208229739	-77.71
-0.220634504	-87.94
-0.23293085	-98.21
-0.270139496	-108.06
-0.285150383	-118.26
-0.318373011	-128.47
-0.335290819	-138.53
-0.363777929	-148.78
-0.385745732	-158.89
-0.402976643	-169.08
-0.43769396	-179.22
-0.461445453	-189.18
-0.473560225	-199.64
-0.501885857	-209.85
-0.520489469	-219.89
-0.537182389	-230.33
-0.563536389	-240.7
-0.531398683	-227.83
-0.521207778	-217.07
-0.489969882	-206.74
-0.469626717	-196.65
-0.437132677	-186.47
-0.418540977	-176
-0.38723274	-165.63
-0.36448594	-155.39
-0.351420484	-145.09
-0.327123926	-134.81
-0.305962549	-124.51
-0.267638282	-114.47
-0.244584153	-104.25
-0.224213024	-94.15
-0.199415041	-84.13
-0.188877488	-73.8
-0.145168489	-64.08
-0.127158884	-53.89
-0.113515151	-43.98
-0.069424719	-34.23
-0.058429521	-24.6
-0.032280632	-14.65
-0.018825652	-4.79
0.001423423	4.92
0.045413821	14.49
0.050266227	24.58
0.064450042	34.67
0.098348332	44.76
0.134318008	54.67
0.144982815	64.81
0.179413713	74.84
0.224712164	84.58
0.226943567	94.56
0.247261858	104.26
0.283708098	114.46
0.288475101	123.92
0.299676354	134.15
0.340126913	143.74
0.352005563	154.21
0.393137723	163.86
0.395264442	173.89
0.423125568	184.31
0.448493675	194.05
0.468396419	203.86
0.494869633	214.22
0.536104956	223.84
0.538223273	234.1
0.566359378	243.94
0.56117231	231.36
0.515542763	221.25
0.49719582	210.82
0.470401562	200.94
0.439571803	191.11
0.400204345	180.86
0.389144203	170.98
0.383222417	160.6
0.32332034	151.02
0.324991013	141.2
0.30031983	131.07
0.276163053	121.42
0.238788234	111.64
0.219771717	101.4
0.212268995	91.34
0.190330051	81.81
0.151766328	71.78
0.126042926	61.71
0.107563161	51.62
0.072033268	41.74
0.058052637	31.73
0.03441204	21.16
0.01161018	11.46
-0.009061803	1.7
-0.04375698	-8.05
-0.04268102	-17.76
-0.069609289	-27.56
-0.093606602	-37.61
-0.135686581	-47.33
-0.153923294	-57.44
-0.170157044	-67.56
-0.195998456	-77.78
-0.215601673	-87.75
-0.246278364	-97.66
-0.268193346	-108.37
-0.297239384	-117.95
-0.311009114	-128.41
-0.342708308	-138.6
-0.358673545	-148.85
-0.377189936	-158.78
-0.405432363	-168.95
-0.4284422	-179.21
-0.451027965	-189.28
-0.467246357	-199.5
-0.491848018	-209.63
-0.514823975	-219.84
-0.535975843	-229.98
-0.571946654	-240.51
-0.547322496	-227.87
-0.517482507	-217
-0.477095389	-206.77
-0.464854228	-196.32
-0.452008008	-185.98
-0.417422487	-175.86
-0.393923843	-165.67
-0.374514003	-155.45
-0.346332374	-144.97
-0.325209263	-134.82
-0.287334698	-124.62
-0.275678075	-114.37
-0.251196241	-104.3
-0.226045297	-94.16
-0.193849883	-84.18
-0.180966211	-73.68
-0.140567316	-63.94
-0.122081715	-53.88
-0.104806248	-44.07
-0.088128741	-34.12
-0.066283024	-24.44
-0.035640599	-14.65
0.000811424	-4.73
0.035919304	5.11
0.048986426	14.41
0.055005603	24.67
0.0870081	34.84
0.112451508	44.92
0.123265739	54.94
0.149372643	64.84
0.173821682	74.68
0.207599714	84.74
0.228415571	94.61
0.230036329	104.28
0.258795446	114.44
0.280319398	124.25
0.316113986	133.93
0.334919305	143.88
0.354673358	154
0.378620858	164.07
0.403102173	174.23
0.450104005	184.33
0.450843719	194.11
0.479155635	204.04
0.503377413	214.47
0.523434953	224.11
0.557836441	234.39
0.57430747	244.29
0.553386218	231.39
0.520810999	220.97
0.505845918	211.15
0.470487609	200.9
0.442266799	191.37
0.412485529	180.96
0.382217877	171.01
0.380017474	161.07
0.345112591	151.29
0.32765416	141.41
0.295520071	131.32
0.265246537	121.36
0.236356897	111.74
0.210334165	101.53
0.206593057	91.62
0.182646428	81.83
0.15574764	72.07
0.142982624	61.72
0.113421437	52.03
0.09087233	41.86
0.054488398	31.75
0.035489952	21.46
0.014202494	11.44
-0.005508191	1.72
-0.036977572	-7.9
-0.058557899	-17.64
-0.083308666	-27.68
-0.106296764	-37.55
-0.128021362	-47.67
-0.145631883	-57.33
-0.166247834	-67.31
-0.186076657	-77.66
-0.2194892	-87.74
-0.248613861	-97.91
-0.277482916	-108.19
-0.299992792	-117.78
-0.312029863	-128.04
-0.337589339	-138.43
-0.3626075	-148.6
-0.388359126	-158.81
-0.40843768	-168.83
-0.427816247	-178.98
-0.443757223	-189.47
-0.470259933	-199.46
-0.497507987	-209.62
-0.525737556	-220.02
-0.541136253	-230.02
-0.568110632	-240.6
-0.534399967	-227.97
-0.516369372	-216.83
-0.494899295	-206.45
-0.470030404	-196.25
-0.441005017	-186.22
-0.430098461	-175.83
-0.394652388	-165.33
-0.366185028	-155.38
-0.334730605	-144.86
-0.321407806	-134.45
-0.290459751	-124.44
-0.264839907	-114.16
-0.23058964	-104.37
-0.224356166	-94.19
-0.193821272	-84.15
-0.184542612	-73.99
-0.165245278	-63.87
-0.12144009	-53.76
-0.094249916	-44.06
-0.093501624	-34.3
-0.065143737	-24.44
-0.020234836	-14.46
-0.005086766	-5.02
0.021985085	4.9
0.031046926	14.33
0.043854673	24.66
0.085140079	34.76
0.103371395	45.06
0.136241372	54.86
0.151956289	64.63
0.166600507	74.55
0.20391546	84.39
0.215189011	94.74
0.254384205	104.47
0.26646601	114.24
0.298457848	124.21
0.273182825	133.7
0.334652492	144.13
0.353686343	154.53
0.380811455	164.24
0.394445006	174.18
0.43164938	184.64
0.447941702	194.36
0.473370997	204.15
0.497886577	214.5
0.52387528	224.32
0.551731368	234.71
0.563416379	244.63
0.564161272	231.57
0.539776677	220.96
0.487715105	210.93
0.459123254	201.1
0.434309156	190.88
0.400829353	181.14
0.385090283	171.23
0.360935649	160.89
0.336983009	150.99
0.316612153	141.5
0.312177398	131.43
0.258078279	121.31
0.258450533	111.63
0.214959176	101.54
0.204227825	91.81
0.164492776	81.82
0.160071913	72.01
0.128301725	61.68
0.113842915	52.04
0.091441162	41.93
0.069928969	31.71
0.047552282	21.47
0.005671287	11.45
-0.015596179	1.84
-0.03958219	-7.94
-0.065774932	-17.73
-0.082741969	-27.27
-0.108766961	-37.42
-0.134914161	-47.35
-0.140218301	-57.5
-0.177024363	-67.24
-0.203793984	-77.3
-0.227636205	-87.84
-0.236237714	-97.74
-0.270717133	-108.05
-0.294696313	-117.89
-0.312470305	-128.17
-0.33934967	-138.54
-0.366359741	-148.71
-0.384117874	-158.53
-0.41622674	-168.73
-0.428410398	-178.92
-0.456325358	-189.19
-0.480240809	-199.37
-0.506385915	-209.82
-0.529723783	-219.92
-0.533109615	-230.19
-0.566092331	-240.75
-0.540072817	-227.74
-0.520830993	-217.07
-0.497160188	-206.23
-0.466212042	-196.44
-0.423260461	-186.16
-0.417386037	-175.82
-0.396427212	-165.52
-0.36390919	-155.28
-0.348987094	-144.97
-0.316119746	-134.57
-0.302226473	-124.42
-0.257503725	-114.35
-0.242143505	-104.23
-0.223618547	-94.13
-0.204313988	-84.26
-0.192002603	-73.7
-0.143226661	-64.09
-0.120165286	-54.14
-0.094912869	-44.12
-0.084012762	-34.42
-0.056834695	-24.23
-0.025194873	-14.57
-0.025962786	-4.87
-0.002542308	5.24
0.036771134	14.53
0.065192857	24.71
0.084053773	34.66
0.126034417	44.84
0.133283265	54.88
0.167050153	64.64
0.165973735	74.6
0.188790327	84.54
0.214998983	94.6
0.235296869	104.45
0.260916507	114.28
0.27865636	123.98
0.302530629	133.86
0.338182955	143.96
0.375194789	154.48
0.392217247	164.02
0.397246372	174.14
0.43435363	184.35
0.454780427	194.27
0.474903784	204.28
0.495987778	214.47
0.525505443	224.55
0.569034119	235.01
0.576543438	244.44
0.567689395	231.33
0.526034041	220.85
0.482239616	210.9
0.479620761	200.72
0.431027369	191.15
0.415883699	180.99
0.380066893	171.03
0.36605457	160.68
0.341876407	151.2
0.326111884	141.51
0.292768195	131.29
0.28131578	121.56
0.24415744	111.83
0.215822505	101.63
0.228295951	92
0.172751509	81.76
0.170049624	72.05
0.132063952	61.95
0.108117082	51.98
0.096480243	41.83
0.060413829	31.73
0.039178603	21.78
0.011219429	11.35
-0.017312344	1.91
-0.036963369	-7.75
-0.055520272	-17.47
-0.067103906	-27.3
-0.105230858	-37.46
-0.130244486	-47.32
-0.149857792	-57.05
-0.16786671	-67.07
-0.178689595	-77.56
-0.228517473	-87.5
-0.233600233	-97.64
-0.267861242	-107.91
-0.297753908	-117.93
-0.31987035	-128.1
-0.33896339	-138.28
-0.358690071	-148.45
-0.38700895	-158.59
-0.409817405	-168.69
-0.423343632	-178.77
-0.459003639	-189.46
-0.479770512	-199.51
-0.50386671	-209.44
-0.527934666	-220.03
-0.541454927	-230.33
-0.561829367	-240.46
-0.520388125	-227.55
-0.52203062	-216.95
-0.495729095	-206.28
-0.469972939	-195.98
-0.449929365	-186.02
-0.42032978	-175.74
-0.392929859	-165.2
-0.368685247	-155.15
-0.341097903	-144.65
-0.320178361	-134.53
-0.302449659	-124.19
-0.274054819	-114.14
-0.241123158	-104.33
-0.223412274	-94
-0.200451752	-83.83
-0.178747726	-73.83
-0.159002554	-63.9
-0.119900881	-53.93
-0.111936031	-44.1
-0.084023503	-34.17
-0.057860735	-24.17
-0.035363672	-14.52
-0.014833946	-4.83
0.025598948	6.19
0.034784802	14.39
0.0710004	24.6
0.082922267	35.1
0.120673773	45.01
0.117893254	55
0.164294081	64.81
0.159659307	74.93
0.1886062	84.71
0.203517828	94.78
0.24822916	104.61
0.262076763	114.27
0.296983637	124.47
0.291207959	134.04
0.354161184	144.08
0.360745491	154.26
0.37462792	164.09
0.3941123	174.27
0.435180006	184.67
0.456322693	194.55
0.473624944	204.54
0.512272911	214.49
0.523915109	224.53
0.564590551	234.72
0.606233987	244.76
0.587279582	254.72
0.626385627	264.39
0.652415582	273.98
0.699238799	283.75
0.702639974	293.27
0.750925983	302.59
0.756462151	312.04
