U_Link_disp     U_Link_shear
0.000664551     -429.715
0.000567905     -474.321
0.000471259     -518.927
0.000374612     -563.533
0.000277966     -608.139
0.00018132     -652.745
8.46738e-05     -697.351
-1.19724e-05     -741.957
-0.000108619     -786.563
-0.000205265     -831.169
-0.000301911     -875.775
-0.000398557     -920.38
-0.000495203     -964.986
-0.00059185     -1009.59
-0.000688496     -1054.2
-0.000782153     -1097.42
-0.000846459     -1127.1
-0.000895819     -1149.89
-0.000937835     -1169.28
-0.000975276     -1186.56
-0.00100952     -1202.36
-0.00108259     -1216.65
-0.00128667     -1228.81
-0.00158643     -1239.46
-0.00195668     -1249.01
-0.00238151     -1257.69
-0.00285021     -1265.68
-0.00335513     -1273.1
-0.00389062     -1280.04
-0.00445234     -1286.57
-0.00503688     -1292.73
-0.0056415     -1298.58
-0.00626398     -1304.15
-0.00690247     -1309.47
-0.0075554     -1314.56
-0.00822146     -1319.44
-0.0088995     -1324.13
-0.00958856     -1328.65
-0.0102878     -1333
-0.0109964     -1337.21
-0.0117137     -1341.28
-0.0124391     -1345.22
-0.0131722     -1349.04
-0.0139124     -1352.74
-0.0146593     -1356.34
-0.0154125     -1359.84
-0.0161717     -1363.25
-0.0169365     -1366.56
-0.0177067     -1369.79
-0.0184819     -1372.94
-0.0192619     -1376.02
-0.0200465     -1379.02
-0.0208355     -1381.95
-0.0216287     -1384.81
-0.0224258     -1387.61
-0.0232268     -1390.35
-0.0240314     -1393.03
-0.0248396     -1395.65
-0.0256511     -1398.22
-0.0264658     -1400.74
-0.0272837     -1403.21
-0.0281046     -1405.63
-0.0289283     -1408
-0.0287995     -1348.52
-0.0286706     -1289.05
-0.0285418     -1229.58
-0.0284129     -1170.1
-0.028284     -1110.63
-0.0281552     -1051.15
-0.0280263     -991.677
-0.0278974     -932.202
-0.0277686     -872.728
-0.0276397     -813.253
-0.0275109     -753.779
-0.027382     -694.304
-0.0272531     -634.829
-0.0271243     -575.355
-0.0269954     -515.88
-0.0268666     -456.406
-0.0267377     -396.931
-0.0266088     -337.456
-0.02648     -277.982
-0.0263511     -218.507
-0.0262222     -159.033
-0.0260934     -99.558
-0.0259645     -40.0834
-0.0258357     19.3912
-0.0257068     78.8658
-0.0255779     138.34
-0.0254491     197.815
-0.0253202     257.29
-0.0251914     316.764
-0.0250625     376.239
-0.0249336     435.713
-0.0248048     495.188
-0.0246759     554.663
-0.024547     614.137
-0.0244182     673.612
-0.0242893     733.086
-0.0241605     792.561
-0.0240316     852.036
-0.0239027     911.51
-0.0237831     966.716
-0.0237033     1003.57
-0.0236406     1032.51
-0.0235867     1057.36
-0.0234707     1078.88
-0.0231514     1096.49
-0.0226955     1111.57
-0.0221441     1124.88
-0.0215212     1136.87
-0.0208423     1147.83
-0.0201178     1157.96
-0.0193555     1167.38
-0.018561     1176.22
-0.0177388     1184.54
-0.0168922     1192.42
-0.0160242     1199.91
-0.015137     1207.05
-0.0142326     1213.87
-0.0133126     1220.4
-0.0123783     1226.68
-0.0114311     1232.72
-0.0104718     1238.53
-0.00950144     1244.15
-0.00852081     1249.58
-0.00753059     1254.83
-0.00653143     1259.92
-0.00552388     1264.86
-0.00450847     1269.66
-0.00348564     1274.32
-0.00245581     1278.85
-0.00141937     1283.26
-0.000376664     1287.56
0.000671992     1291.75
0.0017263     1295.84
0.002786     1299.83
0.00385083     1303.73
0.00492056     1307.54
0.00599499     1311.26
0.0070739     1314.9
0.00815712     1318.47
0.00924446     1321.96
0.0103358     1325.37
0.0114309     1328.72
0.0125297     1332.01
0.013632     1335.22
0.0147377     1338.38
0.0158467     1341.48
0.0169589     1344.52
0.0180742     1347.5
0.0191924     1350.43
0.0203135     1353.31
0.0214374     1356.14
0.0225639     1358.92
0.0236931     1361.65
0.0248248     1364.34
0.0259589     1366.98
0.0270954     1369.58
0.0282343     1372.14
0.0293754     1374.65
0.0305187     1377.13
0.0316641     1379.57
0.0315352     1320.09
0.0314063     1260.62
0.0312775     1201.15
0.0311486     1141.67
0.0310198     1082.2
0.0308909     1022.72
0.030762     963.247
0.0306332     903.772
0.0305043     844.298
0.0303755     784.823
0.0302466     725.348
0.0301177     665.874
0.0299889     606.399
0.02986     546.925
0.0297311     487.45
0.0296023     427.975
0.0294734     368.501
0.0293446     309.026
0.0292157     249.552
0.0290868     190.077
0.028958     130.602
0.0288291     71.1278
0.0287003     11.6532
0.0285714     -47.8214
0.0284425     -107.296
0.0283137     -166.771
0.0281848     -226.245
0.0280559     -285.72
0.0279271     -345.194
0.0277982     -404.669
0.0276694     -464.144
0.0275405     -523.618
0.0274116     -583.093
0.0272828     -642.567
0.0271539     -702.042
0.027025     -761.517
0.0268962     -820.991
0.0267673     -880.466
0.0266385     -939.94
0.026519     -995.055
0.0264399     -1031.6
0.0263778     -1060.24
0.0263245     -1084.83
0.026216     -1106.19
0.0258997     -1123.63
0.0254418     -1138.5
0.0248856     -1151.6
0.0242561     -1163.38
0.0235694     -1174.12
0.0228363     -1184.04
0.0220647     -1193.26
0.0212604     -1201.9
0.020428     -1210.03
0.019571     -1217.72
0.0186923     -1225.02
0.0177942     -1231.98
0.0168788     -1238.62
0.0159476     -1244.98
0.0150021     -1251.08
0.0140435     -1256.95
0.0130729     -1262.6
0.0120911     -1268.06
0.011099     -1273.33
0.0100974     -1278.42
0.0090867     -1283.36
0.00806766     -1288.14
0.00704074     -1292.79
0.00600642     -1297.3
0.00496511     -1301.69
0.00391719     -1305.96
0.00286303     -1310.11
0.00180294     -1314.16
0.000737217     -1318.11
-0.000333867     -1321.97
-0.00141006     -1325.73
-0.00249113     -1329.4
-0.00357685     -1332.99
-0.00466703     -1336.5
-0.00576148     -1339.94
-0.00686003     -1343.3
-0.0079625     -1346.59
-0.00906875     -1349.81
-0.0101786     -1352.97
-0.011292     -1356.06
-0.0124087     -1359.1
-0.0135287     -1362.08
-0.0146519     -1365
-0.015778     -1367.86
-0.0169071     -1370.68
-0.018039     -1373.44
-0.0191736     -1376.15
-0.0203109     -1378.82
-0.0214507     -1381.44
-0.0225931     -1384.01
-0.0237378     -1386.54
-0.0248849     -1389.03
-0.0260342     -1391.48
-0.0271858     -1393.89
-0.0283395     -1396.26
-0.0294953     -1398.59
-0.0293664     -1339.12
-0.0292376     -1279.65
-0.0291087     -1220.17
-0.0289798     -1160.7
-0.028851     -1101.22
-0.0287221     -1041.75
-0.0285933     -982.272
-0.0284644     -922.797
-0.0283355     -863.323
-0.0282067     -803.848
-0.0280778     -744.374
-0.027949     -684.899
-0.0278201     -625.424
-0.0276912     -565.95
-0.0275624     -506.475
-0.0274335     -447.001
-0.0273046     -387.526
-0.0271758     -328.051
-0.0270469     -268.577
-0.0269181     -209.102
-0.0267892     -149.628
