L_Link_disp     L_Link_shear
-0.0203551     1777.16
-0.0189173     1786.4
-0.0174875     1795.18
-0.0160649     1803.55
-0.0146487     1811.55
-0.0132384     1819.21
-0.0118334     1826.57
-0.0104333     1833.66
-0.00903773     1840.48
-0.00764632     1847.07
-0.00625878     1853.44
-0.00487486     1859.6
-0.00349432     1865.58
-0.00211695     1871.37
-0.000742553     1877
0.000629036     1882.47
0.00199797     1887.79
0.00336441     1892.97
0.00472846     1898.02
0.00609025     1902.94
0.0074499     1907.74
0.00880749     1912.42
0.0101631     1917
0.0115169     1921.48
0.0128689     1925.85
0.0142192     1930.13
0.0155678     1934.32
0.0169149     1938.42
0.0182604     1942.44
0.0196045     1946.37
0.0209472     1950.23
0.0222885     1954.02
0.0236286     1957.73
0.0249674     1961.37
0.0263049     1964.95
0.0276413     1968.46
0.0289766     1971.91
0.0303107     1975.29
0.0316438     1978.62
0.0329759     1981.9
0.0343069     1985.12
0.035637     1988.28
0.0369662     1991.39
0.0382944     1994.46
0.0396217     1997.47
0.0409482     2000.44
0.0422738     2003.36
0.0435987     2006.23
0.0434631     1917.59
0.0433275     1828.95
0.0431919     1740.3
0.0430564     1651.66
0.0429208     1563.01
0.0427852     1474.37
0.0426497     1385.73
0.0425141     1297.08
0.0423785     1208.44
0.0422429     1119.8
0.0421074     1031.15
0.0419718     942.509
0.0418362     853.865
0.0417006     765.221
0.0415651     676.577
0.0414295     587.934
0.0412939     499.29
0.0411584     410.646
0.0410228     322.003
0.0408872     233.359
0.0407516     144.715
0.0406161     56.0714
0.0404805     -32.5723
0.0403449     -121.216
0.0402093     -209.86
0.0400738     -298.503
0.0399382     -387.147
0.0398026     -475.791
0.0396671     -564.435
0.0395315     -653.078
0.0393959     -741.722
0.0392603     -830.366
0.0391248     -919.009
0.0389892     -1007.65
0.0388536     -1096.3
0.038718     -1184.94
0.0385825     -1273.58
0.0384469     -1362.23
0.0383113     -1450.87
0.0379871     -1532.18
0.0368594     -1582.22
0.0353896     -1618.95
0.0337444     -1648.86
0.0320293     -1673.9
0.030387     -1694.27
0.0287988     -1711.65
0.0272484     -1726.96
0.0257263     -1740.74
0.0242264     -1753.32
0.0227444     -1764.92
0.0212774     -1775.73
0.0198231     -1785.85
0.0183797     -1795.38
0.0169459     -1804.4
0.0155205     -1812.97
0.0141026     -1821.13
0.0126915     -1828.93
0.0112865     -1836.41
0.00988713     -1843.58
0.00849284     -1850.49
0.00710325     -1857.14
0.00571799     -1863.56
0.00433676     -1869.76
0.00295927     -1875.77
0.00158527     -1881.59
0.000214549     -1887.23
-0.0011531     -1892.71
-0.00251787     -1898.04
-0.0038799     -1903.22
-0.00523937     -1908.26
-0.00659639     -1913.17
-0.00795111     -1917.96
-0.00930363     -1922.63
-0.0106541     -1927.19
-0.0120025     -1931.65
-0.013349     -1936
-0.0146938     -1940.26
-0.0160367     -1944.42
-0.0173781     -1948.49
-0.0187178     -1952.48
-0.020056     -1956.39
-0.0213927     -1960.22
-0.022728     -1963.97
-0.024062     -1967.65
-0.0253947     -1971.26
-0.026726     -1974.8
-0.0280562     -1978.27
-0.0293852     -1981.69
-0.0307131     -1985.04
-0.0320398     -1988.33
-0.0333655     -1991.57
-0.0346902     -1994.75
-0.0360139     -1997.87
-0.0373366     -2000.95
-0.0386584     -2003.97
-0.0399793     -2006.95
-0.0412993     -2009.87
-0.0426184     -2012.76
-0.0439367     -2015.59
-0.0452543     -2018.38
-0.0451187     -1929.74
-0.0449831     -1841.1
-0.0448475     -1752.45
-0.044712     -1663.81
-0.0445764     -1575.17
-0.0444408     -1486.52
-0.0443053     -1397.88
-0.0441697     -1309.23
-0.0440341     -1220.59
-0.0438985     -1131.95
-0.043763     -1043.3
-0.0436274     -954.659
-0.0434918     -866.015
-0.0433562     -777.372
-0.0432207     -688.728
-0.0430851     -600.084
-0.0429495     -511.441
-0.042814     -422.797
-0.0426784     -334.153
-0.0425428     -245.509
-0.0424072     -156.866
-0.0422717     -68.222
-0.0421361     20.4217
-0.0420005     109.065
-0.0418649     197.709
-0.0417294     286.353
-0.0415938     374.997
-0.0414582     463.64
-0.0413227     552.284
-0.0411871     640.928
-0.0410515     729.571
-0.0409159     818.215
-0.0407804     906.859
-0.0406448     995.503
-0.0405092     1084.15
-0.0403736     1172.79
-0.0402381     1261.43
-0.0401025     1350.08
-0.0399669     1438.72
-0.0396448     1520.11
-0.0385243     1570.43
-0.0370613     1607.43
-0.0354223     1637.58
-0.033715     1662.8
-0.0320773     1683.36
-0.0304907     1700.93
-0.0289401     1716.42
-0.0274165     1730.37
-0.0259142     1743.12
-0.0244291     1754.88
-0.0229584     1765.83
-0.0215     1776.1
-0.0200521     1785.77
-0.0186134     1794.92
-0.017183     1803.61
-0.0157598     1811.89
-0.0143432     1819.81
-0.0129326     1827.39
-0.0115275     1834.68
-0.0101273     1841.68
-0.0087317     1848.43
-0.00734036     1854.95
-0.00595297     1861.25
-0.00456925     1867.35
-0.00318896     1873.25
-0.0018119     1878.98
-0.000437862     1884.55
0.000933325     1889.95
0.00230182     1895.21
0.00366777     1900.34
0.0050313     1905.32
0.00639255     1910.19
0.00775161     1914.93
0.0091086     1919.56
0.0104636     1924.09
0.0118167     1928.51
0.013168     1932.83
0.0145176     1937.06
0.0158655     1941.2
0.0172118     1945.25
0.0185566     1949.22
0.0198999     1953.1
0.0212418     1956.92
0.0225823     1960.65
0.0239216     1964.32
0.0252595     1967.92
0.0265962     1971.45
0.0279317     1974.92
0.0292661     1978.32
0.0305994     1981.67
0.0319316     1984.95
0.0332628     1988.18
0.0345929     1991.36
0.0359221     1994.48
0.0372503     1997.56
