Sd	        Sa	    Period
cm	        g	    sec
129.9759988	0.442 	3.44
130.8280968	0.442 	3.45
131.6845692	0.443 	3.46
132.5421783	0.443 	3.47
133.4014326	0.443 	3.48
134.2644875	0.444 	3.49
135.1282517	0.444 	3.5
135.992165	0.444 	3.51
136.8595037	0.445 	3.52
137.7265287	0.445 	3.53
138.5930594	0.445 	3.54
139.4616361	0.445 	3.55
140.3300711	0.446 	3.56
141.1975206	0.446 	3.57
142.0647793	0.446 	3.58
142.9329486	0.446 	3.59
143.7998384	0.447 	3.6
144.6650563	0.447 	3.61
145.5297002	0.447 	3.62
146.3937474	0.447 	3.63
147.255365	0.447 	3.64
148.1145673	0.447 	3.65
148.9727022	0.448 	3.66
149.8293073	0.448 	3.67
150.682767	0.448 	3.68
151.5331237	0.448 	3.69
152.3812721	0.448 	3.7
153.2279915	0.448 	3.71
154.0716031	0.448 	3.72
154.9119141	0.448 	3.73
155.7487986	0.448 	3.74
156.582339	0.448 	3.75
157.414167	0.448 	3.76
158.2420299	0.448 	3.77
159.0659005	0.448 	3.78
159.8857171	0.448 	3.79
160.7010952	0.448 	3.8
161.5136276	0.448 	3.81
162.3218238	0.448 	3.82
163.1252933	0.448 	3.83
163.9249946	0.447 	3.84
164.7215766	0.447 	3.85
165.5143698	0.447 	3.86
166.3014642	0.447 	3.87
167.0854007	0.447 	3.88
167.8630963	0.446 	3.89
168.6351098	0.446 	3.9
169.4020135	0.446 	3.91
170.1634384	0.446 	3.92
170.9212354	0.445 	3.93
171.6735918	0.445 	3.94
172.4205978	0.445 	3.95
173.1624637	0.444 	3.96
173.8991318	0.444 	3.97
174.6304263	0.444 	3.98
175.3565652	0.443 	3.99
176.0786072	0.443 	4
176.7950364	0.442 	4.01
177.5055527	0.442 	4.02
178.2100534	0.442 	4.03
178.9085568	0.441 	4.04
179.6014502	0.441 	4.05
180.290072	0.440 	4.06
180.9725367	0.440 	4.07
181.6488256	0.439 	4.08
182.3190459	0.439 	4.09
182.98335	0.438 	4.1
183.642063	0.438 	4.11
184.2962768	0.437 	4.12
184.944054	0.436 	4.13
185.5849542	0.436 	4.14
186.2192147	0.435 	4.15
186.8475088	0.435 	4.16
187.4713455	0.434 	4.17
188.0887905	0.433 	4.18
188.6995314	0.433 	4.19
189.3034263	0.432 	4.2
189.9013894	0.431 	4.21
190.4946191	0.430 	4.22
191.0811364	0.430 	4.23
191.6607129	0.429 	4.24
192.2331173	0.428 	4.25
192.8011365	0.428 	4.26
193.3624919	0.427 	4.27
193.9166836	0.426 	4.28
194.4637524	0.425 	4.29
195.0061305	0.424 	4.3
195.5421887	0.424 	4.31
196.0708711	0.423 	4.32
196.5921284	0.422 	4.33
197.1093755	0.421 	4.34
197.6196026	0.420 	4.35
198.1227212	0.419 	4.36
198.6189274	0.419 	4.37
199.1113298	0.418 	4.38
199.5965824	0.417 	4.39
200.0746942	0.416 	4.4
200.5467389	0.415 	4.41
201.0143936	0.414 	4.42
201.4749777	0.413 	4.43
201.9286531	0.412 	4.44
202.3771605	0.411 	4.45
202.8207406	0.410 	4.46
203.2578023	0.409 	4.47
203.6881233	0.408 	4.48
204.1137826	0.407 	4.49
204.5342304	0.406 	4.5
204.947695	0.405 	4.51
205.3542014	0.404 	4.52
205.7573457	0.404 	4.53
206.1532083	0.403 	4.54
206.5425854	0.401 	4.55
206.9274765	0.400 	4.56
207.308049	0.399 	4.57
207.6825971	0.398 	4.58
208.0509043	0.397 	4.59
208.4149068	0.396 	4.6
208.7744102	0.395 	4.61
209.1278913	0.394 	4.62
209.475399	0.393 	4.63
209.8191776	0.392 	4.64
210.158072	0.391 	4.65
210.4910155	0.390 	4.66
210.8180077	0.389 	4.67
211.1422056	0.388 	4.68
211.4606991	0.387 	4.69
211.7730539	0.386 	4.7
212.0807031	0.385 	4.71
212.3848836	0.384 	4.72
212.6832401	0.383 	4.73
212.97589	0.381 	4.74
213.2650842	0.380 	4.75
213.5499027	0.379 	4.76
213.8292973	0.378 	4.77
214.1034519	0.377 	4.78
214.3747775	0.376 	4.79
214.64189	0.375 	4.8
214.9043026	0.374 	4.81
215.1618667	0.373 	4.82
215.4158814	0.372 	4.83
215.666154	0.370 	4.84
215.9110865	0.369 	4.85
216.1509325	0.368 	4.86
216.3881313	0.367 	4.87
216.6216711	0.366 	4.88
216.851237	0.365 	4.89
