qc av (%)	Lateral Force (kN)
-0.016567116	-16.97
-0.014733518	-7.12
-0.016844918	2.75
0.007549854	12.3
-0.01111795	22.26
0.017447152	32.44
0.010083812	42.6
0.015254453	52.73
-0.003703979	62.55
0.019017141	72.88
0.027817343	82.75
0.024469087	92.6
0.056463352	102.84
0.044737145	112.61
0.064714628	122.39
0.078677115	132.18
0.076794367	142.51
0.071026959	152.79
0.079685847	162.79
0.100991436	152.79
0.075633452	141.93
0.080698905	131.81
0.068438181	121.59
0.066402314	111.51
0.06777549	101.59
0.055859649	91.52
0.041479403	81.49
0.038101639	71.6
0.038361119	61.39
0.037314136	51.28
0.019578761	41.39
0.013473108	31.24
0.025992334	20.78
0.007061806	10.37
-0.00777175	1.16
-0.023719428	-8.84
0.002656005	-18.6
-0.018447916	-28.46
-0.025779924	-38.73
-0.033263541	-48.53
-0.029213503	-58.55
-0.028332632	-68.68
-0.044808775	-79.04
-0.039340882	-88.86
-0.047380138	-99.11
-0.051369077	-109.61
-0.06609348	-119.32
-0.067367932	-129.69
-0.067323444	-139.68
-0.078961505	-150.05
-0.076090869	-160.08
-0.086108955	-149.55
-0.073936929	-138.49
-0.075389102	-127.97
-0.057350216	-117.64
-0.062679254	-107.44
-0.063695042	-97.11
-0.060319702	-87.15
-0.044243366	-76.55
-0.040576434	-66.44
-0.041915362	-56.7
-0.036070191	-46.55
-0.035428482	-36.93
-0.016882303	-26.54
-0.0077772	-16.96
-0.010061143	-7.04
0.001522584	2.71
0.011436537	12.38
0.004934816	22.39
0.002858965	32.92
0.010777367	42.92
0.011878357	52.66
0.015368002	62.83
0.022146159	73.05
0.037743977	82.89
0.038950123	92.78
0.05077265	102.81
0.054499403	112.57
0.068814796	122.67
0.055057685	132.54
0.071265711	142.49
0.076986024	152.8
0.096730651	162.73
0.079901548	152.65
0.095052819	142.04
0.062029645	131.51
0.061241353	121.34
0.0623399	111.62
0.047268122	101.4
0.053416091	91.48
0.053721042	81.61
0.03901279	71.4
0.028837839	61.39
0.036771424	51.4
0.037327107	41.54
0.006372887	31.22
0.027554665	20.92
0.001083284	10.68
-0.009588099	0.98
-0.003256899	-8.83
0.006565981	-18.64
-0.013206502	-28.2
-0.016874396	-38.61
-0.029556838	-48.47
-0.033630787	-58.43
-0.036488153	-68.52
-0.033771898	-78.9
-0.048223252	-89.11
-0.05349164	-99.27
-0.05438189	-109.31
-0.065677736	-119.35
-0.065177239	-129.49
-0.082731803	-139.83
-0.073544608	-149.78
-0.087636274	-160.36
-0.082640685	-150.03
-0.071948405	-138.23
-0.072462771	-127.83
-0.060779497	-117.4
-0.065565427	-107.67
-0.057592946	-97.24
-0.046274732	-86.89
-0.045051593	-76.54
-0.032245274	-66.51
-0.044582965	-56.53
-0.019499458	-46.52
-0.028759878	-36.73
-0.023104741	-26.61
-0.018427553	-16.75
-0.007284763	-7.15
0.000354474	2.69
-0.014630359	12.21
-0.00549388	22.43
0.004545736	32.87
0.031784912	42.89
0.009345116	52.72
0.03493937	62.83
0.045222277	72.86
0.037016129	83.05
0.051445272	92.89
0.053957764	102.86
0.051398578	112.41
0.055861932	122.41
0.067325816	132.16
0.078412984	142.66
0.088978195	152.92
0.09185368	162.7
0.084085306	152.5
0.066579469	141.83
0.07364366	131.58
0.0685246	121.5
0.071826867	111.52
0.042740766	101.41
0.051016291	91.58
0.053231264	81.52
0.037991969	71.49
0.020759923	61.22
0.034203288	51.17
0.023592514	41.34
0.017791916	31.27
0.007986966	20.76
-0.001132807	10.57
0.00352078	1.07
-0.017694544	-8.87
-0.048312797	-80.3
-0.06079465	-88.43
-0.046786948	-99.14
-0.065234107	-109.39
-0.054958288	-119.15
-0.068745886	-129.54
-0.073640003	-139.59
-0.076952632	-150.01
-0.081090321	-160.13
-0.081898455	-149.25
-0.082411439	-138.28
-0.082569269	-127.85
-0.071617526	-117.57
-0.064379853	-107.47
-0.060287342	-97.23
-0.046683478	-86.82
-0.049248095	-76.6
-0.0381657	-66.46
-0.045250439	-56.56
-0.025481326	-46.65
-0.032705256	-36.74
-0.022369947	-26.79
-0.013352871	-16.91
-0.012987797	-7.06
-0.018037231	2.76
0.014202567	12.38
-0.000113979	22.47
0.005057744	33.08
0.015246561	42.88
0.028469815	53.05
0.016047289	62.81
0.028627948	72.91
0.034872725	83.08
0.037121314	92.74
0.047794719	102.89
0.07239964	112.56
0.05937243	122.52
0.077326357	132.49
0.061338349	142.48
0.085486992	152.71
0.095497158	162.91
0.064424692	152.63
0.069803658	141.86
0.075589659	131.89
0.079657292	121.56
0.063672369	111.71
0.053375357	101.58
0.071490941	91.66
0.036072472	81.5
0.039670548	71.53
0.017946479	61.43
0.025874062	51.11
0.022663454	41.44
0.01231782	31.24
0.026524688	20.92
0.013250951	10.68
0.004010646	0.99
0.003242828	-8.92
-0.005887326	-18.59
-0.001774847	-28.45
-0.017699774	-38.35
-0.022679418	-48.59
-0.028472036	-58.37
-0.040496092	-68.54
-0.047200998	-78.94
-0.055749679	-88.88
-0.047267709	-98.92
-0.056778264	-109.32
-0.070193412	-119.22
-0.072479814	-129.5
-0.073736853	-140
-0.073059016	-149.94
-0.078092972	-160.37
-0.098469413	-149.33
-0.076085809	-138.5
-0.076835588	-127.85
-0.063493896	-117.54
-0.070489377	-107.54
-0.058888593	-97.19
-0.057960316	-86.95
-0.046989555	-76.5
-0.04698491	-66.21
-0.034724122	-56.36
-0.017773309	-46.65
-0.044381986	-36.64
-0.015141263	-26.46
-0.009789883	-16.87
-0.000910023	-6.98
0.010598846	2.78
-0.00432267	12.53
-0.004904487	22.62
-9.30052E-05	32.94
-0.012658072	42.81
0.037398059	52.78
0.015775238	63.03
0.027965929	72.96
0.014740396	82.85
0.031826212	92.93
0.05686403	102.79
0.055542407	112.76
0.066525504	122.46
0.067135162	132.41
0.053843143	142.67
0.075633582	152.83
0.085988115	162.89
0.090576029	172.79
0.083803419	182.91
0.116906898	193.01
0.178609069	202.85
0.112142751	212.62
0.100438631	222.42
0.112883701	232.13
0.112458346	241.83
0.133201864	227.36
0.126842839	217.22
0.120002328	207.28
0.115500837	197.08
0.123659714	187.19
0.119499936	176.87
0.079948571	167.11
0.104623095	157.2
0.091082887	147
0.087655718	136.89
0.082453751	127.1
0.073972152	117.29
0.07168711	107.41
0.062142955	97.44
0.057953958	87.74
0.040982293	77.39
0.03572131	67.51
0.032272927	57.51
0.038679547	47.49
0.027431689	37.89
0.014550845	27.44
0.002502511	16.97
0.008519435	7.38
0.012025283	-2.25
-0.005566932	-12.1
-0.012087009	-22.07
-0.001356886	-31.93
-0.011347154	-42.03
-0.021008888	-51.67
-0.039746268	-61.66
-0.042946216	-71.79
-0.026197841	-82.02
-0.039777084	-92.35
-0.041789815	-102.07
-0.052739873	-112.46
-0.068772119	-122.52
-0.0632637	-132.66
-0.078759877	-142.9
-0.083073257	-153.17
-0.08270574	-163.06
-0.088271388	-173.09
-0.095096146	-183.2
-0.106214542	-193.57
-0.10584551	-203.51
-0.109496755	-213.04
-0.125064522	-222.98
-0.122614908	-232.73
-0.13006162	-242.28
-0.121715596	-227.7
-0.120065747	-216.9
-0.115196542	-206.64
-0.115339689	-196.59
-0.098313681	-186.1
-0.090538032	-176.04
-0.092113843	-165.38
-0.099481356	-155.27
