longitudinal	transverse	vertical
-0.070 	0.130 	0.100 
-0.380 	-0.090 	-0.380 
-0.040 	-0.070 	0.390 
-0.010 	0.130 	0.100 
-0.170 	0.090 	-0.360 
0.140 	-0.120 	0.320 
0.170 	-0.040 	0.030 
0.030 	0.080 	-0.180 
0.010 	-0.050 	0.210 
0.230 	0.030 	-0.100 
0.090 	0.140 	-0.050 
-0.180 	-0.090 	0.190 
0.070 	-0.020 	-0.030 
-0.040 	0.040 	0.030 
-0.210 	-0.120 	0.020 
-0.130 	0.090 	-0.030 
-0.130 	0.060 	0.320 
-0.130 	-0.070 	-0.130 
-0.010 	0.010 	-0.310 
0.210 	0.010 	0.530 
0.030 	0.080 	-0.100 
0.000 	-0.050 	-0.360 
0.230 	0.010 	0.460 
0.090 	0.160 	-0.190 
0.000 	-0.110 	-0.190 
0.100 	0.030 	0.250 
-0.040 	0.210 	-0.190 
-0.180 	-0.020 	0.030 
-0.220 	-0.020 	0.060 
-0.250 	-0.010 	-0.120 
-0.110 	0.010 	0.140 
-0.140 	-0.110 	-0.010 
0.010 	-0.180 	-0.010 
0.090 	0.110 	0.240 
-0.150 	0.030 	-0.210 
0.240 	-0.140 	-0.110 
0.170 	0.110 	0.400 
-0.050 	0.110 	-0.260 
0.160 	-0.160 	-0.070 
-0.020 	-0.130 	0.490 
-0.070 	0.120 	-0.220 
-0.110 	0.060 	0.040 
-0.140 	-0.100 	0.300 
-0.200 	0.030 	-0.300 
-0.230 	0.070 	0.160 
0.020 	-0.040 	0.190 
-0.060 	0.000 	-0.250 
-0.020 	-0.010 	0.160 
0.030 	-0.020 	0.030 
0.030 	0.050 	0.000 
0.150 	0.040 	0.180 
-0.030 	-0.040 	-0.360 
0.130 	-0.010 	0.110 
0.130 	0.050 	0.380 
-0.240 	0.050 	-0.450 
-0.100 	0.040 	0.040 
-0.140 	0.040 	0.420 
-0.200 	0.050 	-0.270 
-0.090 	-0.170 	0.180 
-0.120 	-0.140 	0.260 
0.160 	0.180 	-0.380 
0.050 	-0.050 	0.300 
0.000 	-0.130 	0.150 
0.240 	0.110 	-0.280 
-0.070 	-0.060 	0.340 
0.050 	-0.160 	-0.090 
0.180 	0.080 	-0.050 
-0.140 	0.010 	0.170 
-0.120 	-0.170 	-0.280 
-0.100 	-0.050 	0.210 
-0.220 	0.080 	0.180 
-0.220 	-0.060 	-0.260 
-0.050 	-0.150 	0.190 
0.010 	0.050 	0.140 
-0.050 	0.000 	-0.210 
0.020 	-0.120 	0.220 
0.090 	0.070 	0.010 
0.130 	0.000 	-0.370 
0.110 	-0.040 	0.190 
0.010 	0.110 	-0.020 
-0.020 	-0.080 	-0.220 
-0.070 	-0.040 	0.170 
-0.080 	0.080 	-0.030 
-0.020 	-0.010 	0.100 
-0.310 	0.050 	0.010 
-0.270 	-0.050 	-0.260 
0.030 	0.050 	0.300 
-0.150 	0.080 	-0.040 
-0.010 	-0.140 	-0.380 
0.130 	0.100 	0.460 
0.000 	0.060 	0.000 
0.130 	-0.210 	-0.280 
0.090 	-0.020 	0.370 
0.080 	0.070 	-0.210 
0.000 	-0.130 	-0.140 
-0.090 	-0.140 	0.280 
0.040 	0.050 	-0.230 
-0.150 	0.100 	-0.040 
-0.330 	-0.090 	0.180 
-0.190 	-0.030 	-0.100 
-0.100 	0.190 	0.080 
-0.190 	-0.050 	-0.020 
-0.070 	-0.110 	-0.220 
0.180 	0.090 	0.380 
-0.010 	-0.030 	-0.010 
0.050 	0.000 	-0.320 
0.260 	0.050 	0.510 
-0.030 	0.070 	-0.180 
-0.070 	0.020 	-0.330 
0.070 	-0.120 	0.430 
-0.080 	0.060 	-0.330 
-0.150 	0.020 	-0.130 
-0.190 	-0.060 	0.490 
-0.060 	0.120 	-0.260 
-0.040 	-0.100 	-0.120 
-0.090 	-0.070 	0.300 
0.200 	0.120 	-0.100 
0.020 	0.000 	-0.020 
-0.030 	0.000 	-0.050 
