longitudinal	transverse	vertical
0.083 	0.070 	0.063 
0.015 	0.033 	0.025 
-0.012 	-0.009 	-0.010 
0.051 	0.045 	0.066 
0.031 	0.055 	0.042 
-0.033 	-0.017 	-0.009 
0.025 	0.013 	0.045 
0.069 	0.056 	0.064 
-0.008 	0.012 	-0.012 
0.013 	-0.014 	-0.001 
0.069 	0.063 	0.045 
0.024 	0.034 	0.012 
-0.013 	-0.012 	-0.012 
0.069 	0.029 	0.071 
0.047 	0.051 	0.045 
-0.032 	-0.017 	0.003 
0.024 	0.012 	0.048 
0.063 	0.058 	0.075 
-0.012 	0.000 	0.003 
-0.003 	-0.021 	0.028 
0.093 	0.041 	0.068 
0.022 	0.020 	0.027 
-0.006 	-0.016 	-0.014 
0.058 	0.031 	0.073 
0.047 	0.047 	0.060 
-0.014 	-0.027 	0.027 
0.057 	-0.004 	0.062 
0.081 	0.046 	0.097 
0.000 	-0.003 	-0.007 
0.005 	-0.021 	0.010 
0.078 	0.056 	0.075 
0.016 	0.022 	0.045 
-0.005 	-0.015 	-0.008 
0.072 	0.027 	0.084 
0.074 	0.053 	0.046 
-0.022 	-0.007 	-0.017 
0.045 	0.016 	0.021 
0.081 	0.056 	0.074 
-0.003 	0.006 	0.023 
0.005 	-0.015 	0.044 
0.097 	0.061 	0.088 
0.023 	0.026 	0.039 
-0.002 	-0.019 	-0.001 
0.062 	0.029 	0.063 
0.058 	0.062 	0.049 
-0.023 	-0.009 	0.007 
0.029 	0.014 	0.056 
0.081 	0.069 	0.097 
-0.008 	0.008 	0.014 
0.013 	-0.009 	0.006 
0.119 	0.051 	0.063 
0.020 	0.040 	0.031 
-0.002 	-0.007 	-0.009 
0.067 	0.038 	0.047 
0.061 	0.069 	0.045 
-0.008 	-0.002 	0.010 
0.041 	0.026 	0.065 
0.098 	0.069 	0.138 
0.008 	0.028 	0.044 
0.009 	0.004 	0.048 
0.109 	0.068 	0.108 
0.032 	0.049 	0.035 
-0.014 	-0.006 	-0.022 
0.066 	0.050 	0.049 
0.059 	0.083 	0.039 
-0.017 	0.010 	0.010 
0.063 	0.024 	0.036 
0.100 	0.067 	0.075 
0.009 	0.032 	-0.011 
0.015 	-0.001 	0.002 
0.109 	0.086 	0.052 
0.011 	0.061 	0.032 
-0.017 	0.013 	0.009 
0.073 	0.062 	0.077 
0.078 	0.080 	0.060 
-0.006 	0.005 	0.001 
0.046 	0.025 	0.030 
0.094 	0.076 	0.084 
-0.005 	0.030 	0.016 
0.006 	0.004 	0.042 
0.106 	0.073 	0.117 
0.033 	0.048 	0.047 
-0.005 	0.006 	0.009 
0.061 	0.046 	0.081 
0.063 	0.078 	0.051 
-0.014 	0.019 	-0.002 
0.036 	0.031 	0.031 
