qtotal (%)	Lateral Force (kN)
-0.09475	-26.7
-0.063916667	-16.97
-0.032583333	-7.12
-0.001625	2.75
0.029583333	12.3
0.060791667	22.26
0.091625	32.44
0.122625	42.6
0.154	52.73
0.184875	62.55
0.216458333	72.88
0.247041667	82.75
0.27875	92.6
0.309583333	102.84
0.340958333	112.61
0.3725	122.39
0.403333333	132.18
0.434625	142.51
0.465833333	152.79
0.496833333	162.79
0.472458333	152.79
0.44075	141.93
0.409291667	131.81
0.377666667	121.59
0.345958333	111.51
0.315166667	101.59
0.284208333	91.52
0.252625	81.49
0.222208333	71.6
0.19025	61.39
0.159125	51.28
0.127708333	41.39
0.097125	31.24
0.066333333	20.78
0.035166667	10.37
0.003583333	1.16
-0.027166667	-8.84
-0.058583333	-18.6
-0.089291667	-28.46
-0.1205	-38.73
-0.15175	-48.53
-0.182916667	-58.55
-0.214458333	-68.68
-0.245041667	-79.04
-0.276083333	-88.86
-0.307666667	-99.11
-0.338875	-109.61
-0.369916667	-119.32
-0.400958333	-129.69
-0.4325	-139.68
-0.463708333	-150.05
-0.4945	-160.08
-0.470166667	-149.55
-0.4385	-138.49
-0.406583333	-127.97
-0.375541667	-117.64
-0.34425	-107.44
-0.312416667	-97.11
-0.282083333	-87.15
-0.250416667	-76.55
-0.219208333	-66.44
-0.18825	-56.7
-0.156916667	-46.55
-0.126291667	-36.93
-0.094958333	-26.54
-0.063708333	-16.96
-0.032375	-7.04
-0.002041667	2.71
0.029291667	12.38
0.060458333	22.39
0.092041667	32.92
0.122833333	42.92
0.154041667	52.66
0.185166667	62.83
0.2165	73.05
0.247041667	82.89
0.278666667	92.78
0.309666667	102.81
0.341291667	112.57
0.371708333	122.67
0.403416667	132.54
0.434666667	142.49
0.465833333	152.8
0.497208333	162.73
0.472583333	152.65
0.440291667	142.04
0.409916667	131.51
0.3775	121.34
0.346625	111.62
0.314875	101.4
0.28375	91.48
0.253	81.61
0.221375	71.4
0.190166667	61.39
0.158916667	51.4
0.127791667	41.54
0.096916667	31.22
0.066041667	20.92
0.035041667	10.68
0.003166667	0.98
-0.027458333	-8.83
-0.058375	-18.64
-0.089458333	-28.2
-0.1205	-38.61
-0.151541667	-48.47
-0.182625	-58.43
-0.213958333	-68.52
-0.245416667	-78.9
-0.276416667	-89.11
-0.307666667	-99.27
-0.338375	-109.31
-0.36975	-119.35
-0.401333333	-129.49
-0.43275	-139.83
-0.463625	-149.78
-0.494791667	-160.36
-0.471166667	-150.03
-0.438458333	-138.23
-0.406916667	-127.83
-0.375333333	-117.4
-0.344208333	-107.67
-0.312625	-97.24
-0.2815	-86.89
-0.250375	-76.54
-0.219208333	-66.51
-0.1885	-56.53
-0.15725	-46.52
-0.125541667	-36.73
-0.095208333	-26.61
-0.063583333	-16.75
-0.032708333	-7.15
-0.002	2.69
0.029625	12.21
0.060208333	22.43
0.091875	32.87
0.122583333	42.89
0.153833333	52.72
0.185208333	62.83
0.216041667	72.86
0.247375	83.05
0.278541667	92.89
0.309541667	102.86
0.341416667	112.41
0.371916667	122.41
0.403541667	132.16
0.434833333	142.66
0.466125	152.92
0.497541667	162.7
0.472	152.5
0.440041667	141.83
0.409166667	131.58
0.377333333	121.5
0.346458333	111.52
0.315291667	101.41
0.284291667	91.58
0.25275	81.52
0.221666667	71.49
0.19	61.22
0.158958333	51.17
0.127833333	41.34
0.096625	31.27
0.065916667	20.76
0.034666667	10.57
0.003625	1.07
-0.02725	-8.87
-0.251583333	-80.3
-0.274666667	-88.43
-0.307	-99.14
-0.338708333	-109.39
-0.369583333	-119.15
-0.401208333	-129.54
-0.432666667	-139.59
-0.463541667	-150.01
-0.4945	-160.13
-0.469708333	-149.25
-0.4385	-138.28
-0.407083333	-127.85
-0.375541667	-117.57
-0.343875	-107.47
-0.312833333	-97.23
-0.281416667	-86.82
-0.251083333	-76.6
-0.219208333	-66.46
-0.188833333	-56.56
-0.15725	-46.65
-0.126166667	-36.74
-0.095541667	-26.79
-0.063958333	-16.91
-0.0325	-7.06
-0.002083333	2.76
0.029375	12.38
0.060458333	22.47
0.091916667	33.08
0.122458333	42.88
0.154125	53.05
0.185083333	62.81
0.216333333	72.91
0.247291667	83.08
0.278375	92.74
0.309875	102.89
0.340916667	112.56
0.372	122.52
0.403875	132.49
0.434625	142.48
0.465916667	152.71
0.497208333	162.91
0.472083333	152.63
0.440083333	141.86
0.409041667	131.89
0.377625	121.56
0.346375	111.71
0.314791667	101.58
0.284041667	91.66
0.253333333	81.5
0.221833333	71.53
0.190291667	61.43
0.159291667	51.11
0.127791667	41.44
0.097	31.24
0.066125	20.92
0.034958333	10.68
0.003333333	0.99
-0.02725	-8.92
-0.05875	-18.59
-0.089625	-28.45
-0.120708333	-38.35
-0.151833333	-48.59
-0.183083333	-58.37
-0.21425	-68.54
-0.245708333	-78.94
-0.276333333	-88.88
-0.307541667	-98.92
-0.338958333	-109.32
-0.369625	-119.22
-0.401166667	-129.5
-0.432416667	-140
-0.463583333	-149.94
-0.494458333	-160.37
-0.470041667	-149.33
-0.438041667	-138.5
-0.406541667	-127.85
-0.37575	-117.54
-0.344375	-107.54
-0.313083333	-97.19
-0.281708333	-86.95
-0.2505	-76.5
-0.219291667	-66.21
-0.188083333	-56.36
-0.157541667	-46.65
-0.125833333	-36.64
-0.095375	-26.46
-0.063708333	-16.87
-0.032958333	-6.98
-0.001958333	2.78
0.029208333	12.53
0.060875	22.62
0.091875	32.94
0.1225	42.81
0.154	52.78
0.185041667	63.03
0.216458333	72.96
0.247166667	82.85
0.278583333	92.93
0.309458333	102.79
0.341166667	112.76
0.372291667	122.46
0.403333333	132.41
0.434708333	142.67
0.465791667	152.83
0.497291667	162.89
0.527833333	172.79
0.559041667	182.91
0.590375	193.01
0.621708333	202.85
0.652625	212.62
0.684041667	222.42
0.715416667	232.13
0.746041667	241.83
0.720666667	227.36
0.689666667	217.22
0.65825	207.28
0.627083333	197.08
0.5955	187.19
0.564166667	176.87
0.532875	167.11
0.502416667	157.2
0.471208333	147
0.43975	136.89
0.408916667	127.1
0.377625	117.29
0.346458333	107.41
0.315208333	97.44
