qpz (%)	Lateral Force (kN)
-0.011794624	-80.3
-0.01312973	-88.43
-0.014892899	-99.14
-0.017317839	-109.39
-0.019493651	-119.15
-0.022011912	-129.54
-0.023852984	-139.59
-0.026114408	-150.01
-0.028710573	-160.13
-0.03031408	-149.25
-0.029932274	-138.28
-0.029546613	-127.85
-0.028911824	-117.57
-0.028440551	-107.47
-0.027801908	-97.23
-0.026739057	-86.82
-0.026010946	-76.6
-0.024691258	-66.46
-0.02337157	-56.56
-0.021184195	-46.65
-0.019261365	-36.74
-0.016910474	-26.79
-0.013621701	-16.91
-0.011185197	-7.06
-0.00900553	2.76
-0.006580591	12.38
-0.004151796	22.47
-0.00197213	33.08
0.000542277	42.88
0.002468961	53.05
0.004812143	62.81
0.006820585	72.91
0.00890693	83.08
0.010744147	92.74
0.012919959	102.89
0.015014013	112.56
0.017536129	122.52
0.019883166	132.49
0.022226348	142.48
0.024063565	152.71
0.025986395	162.91
0.02732921	152.63
0.027360048	141.86
0.026807017	131.89
0.026339598	121.56
0.025957792	111.71
0.025404761	101.58
0.024680505	91.66
0.023360817	81.5
0.022383578	71.53
0.020628119	61.43
0.018366695	51.11
0.01610527	41.44
0.013758234	31.24
0.011492955	20.92
0.009655738	10.68
0.007643441	0.99
0.005463775	-8.92
0.003198496	-18.59
0.001271812	-28.45
-0.000904	-38.35
-0.003165424	-48.59
-0.005508607	-58.37
-0.007855643	-68.54
-0.010284438	-78.94
-0.01246025	-88.88
-0.014636062	-98.92
-0.016979244	-109.32
-0.019489796	-119.22
-0.02191859	-129.5
-0.024020354	-140
-0.026371245	-149.94
-0.028461445	-160.37
-0.029983195	-149.33
-0.029846662	-138.5
-0.029461001	-127.85
-0.028911824	-117.54
-0.028440551	-107.54
-0.027801908	-97.19
-0.026906427	-86.95
-0.025929189	-76.5
-0.025033708	-66.21
-0.022776138	-56.36
-0.021355419	-46.65
-0.018837158	-36.64
-0.016657491	-26.46
-0.014902032	-16.87
-0.012037466	-6.98
-0.009776042	2.78
-0.00726549	12.53
-0.004914598	22.62
-0.002400191	32.94
0.000114215	42.81
0.002293882	52.78
0.004387936	63.03
0.006392523	72.96
0.008393256	82.85
0.01031994	92.93
0.012413994	102.79
0.014846643	112.76
0.017115777	122.46
0.019548426	132.41
0.021638625	142.67
0.023650922	152.83
0.025826734	162.89
0.027827466	172.79
0.030933451	182.91
0.033362245	193.01
0.036047877	202.85
0.038488235	212.62
0.041267188	222.42
0.042925471	232.13
0.04356797	241.83
0.0445799	227.36
0.044525124	217.22
0.044139464	207.28
0.043590287	197.08
0.043041111	187.19
0.042316855	176.87
0.041335762	167.11
0.040016074	157.2
0.038696386	147
0.037030394	136.89
0.035107564	127.1
0.032842285	117.29
0.030919456	107.41
0.028825402	97.44
0.02664959	87.74
0.024469923	77.39
0.022297966	67.51
0.020040396	57.51
0.017946342	47.49
0.015599305	37.89
0.013419639	27.44
0.011068747	16.97
0.008974693	7.38
0.006795027	-2.25
0.00461536	-12.1
0.002517451	-22.07
0.000341639	-31.93
-0.002001543	-42.03
-0.004009985	-51.67
-0.006442634	-61.66
-0.008618446	-71.79
-0.01087987	-82.02
-0.013476035	-92.35
-0.015904829	-102.07
-0.018162399	-112.46
-0.019917858	-122.52
-0.022685247	-132.66
-0.025117896	-142.9
-0.027550546	-153.17
-0.029395472	-163.06
-0.032084958	-173.09
-0.034431995	-183.2
-0.037378318	-193.57
-0.040067805	-203.51
-0.042418696	-213.04
-0.044933103	-222.98
-0.046945399	-232.73
-0.049292436	-242.28
-0.051234539	-227.7
-0.050930636	-216.9
-0.050214089	-206.64
-0.049575446	-196.59
-0.048166291	-186.1
-0.045733641	-176.04
-0.044406244	-165.38
-0.042397802	-155.27
-0.040474973	-144.93
-0.038559853	-134.71
-0.036469653	-124.42
-0.034632436	-114.18
-0.032799074	-104.08
