L_Link_disp     L_Link_shear
-0.00245384     -1890.52
-0.00294506     -1898.91
-0.00347099     -1906.03
-0.00402465     -1912.2
-0.00460055     -1917.61
-0.00519445     -1922.41
-0.00580305     -1926.71
-0.00642377     -1930.6
-0.00705459     -1934.16
-0.00769391     -1937.42
-0.00834043     -1940.43
-0.00899312     -1943.22
-0.00965111     -1945.83
-0.0103137     -1948.28
-0.0109803     -1950.57
-0.0116505     -1952.74
-0.0123238     -1954.79
-0.0129998     -1956.73
-0.0136784     -1958.58
-0.0143591     -1960.35
-0.0150419     -1962.03
-0.0157265     -1963.65
-0.0164127     -1965.2
-0.0171004     -1966.68
-0.0177894     -1968.11
-0.0184798     -1969.49
-0.0191712     -1970.82
-0.0198637     -1972.11
-0.0205572     -1973.35
-0.0212516     -1974.55
-0.0219469     -1975.72
-0.0226429     -1976.85
-0.0233396     -1977.95
-0.024037     -1979.02
-0.0247351     -1980.05
-0.0254337     -1981.07
-0.0261329     -1982.05
-0.0268326     -1983.01
-0.0267018     -1897.48
-0.026571     -1811.95
-0.0264402     -1726.42
-0.0263094     -1640.89
-0.0261786     -1555.36
-0.0260477     -1469.83
-0.0259169     -1384.3
-0.0257861     -1298.76
-0.0256553     -1213.23
-0.0255245     -1127.7
-0.0253937     -1042.17
-0.0252629     -956.641
-0.0251321     -871.11
-0.0250013     -785.579
-0.0248704     -700.048
-0.0247396     -614.517
-0.0246088     -528.986
-0.024478     -443.455
-0.0243472     -357.924
-0.0242164     -272.393
-0.0240856     -186.862
-0.0239548     -101.331
-0.0238239     -15.8002
-0.0236931     69.7307
-0.0235623     155.262
-0.0234315     240.793
-0.0233007     326.324
-0.0231699     411.855
-0.0230391     497.385
-0.0229083     582.916
-0.0227774     668.447
-0.0226466     753.978
-0.0225158     839.509
-0.022385     925.04
-0.0222542     1010.57
-0.0221234     1096.1
-0.0219926     1181.63
-0.0218618     1267.16
-0.0217309     1352.7
-0.0216001     1438.23
-0.0214693     1523.76
-0.0213389     1608.99
-0.0212074     1688.5
-0.0210336     1745.68
-0.0207561     1781.26
-0.0203613     1805.39
-0.0198604     1823.18
-0.0192725     1836.98
-0.0186166     1848.1
-0.0179084     1857.31
-0.0171599     1865.12
-0.01638     1871.85
-0.0155757     1877.76
-0.0147517     1883
-0.0139119     1887.7
-0.0130591     1891.96
-0.0121957     1895.85
-0.0113233     1899.42
-0.0104433     1902.73
-0.00955681     1905.8
-0.00866478     1908.67
-0.00776793     1911.36
-0.00686687     1913.9
-0.00596211     1916.29
-0.00505408     1918.56
-0.00414314     1920.71
-0.0032296     1922.76
-0.00231373     1924.72
-0.00139577     1926.6
-0.0004759     1928.39
0.000445693     1930.11
0.00136886     1931.77
0.00229346     1933.37
0.00321939     1934.9
0.00414653     1936.39
0.00507479     1937.83
0.00600408     1939.22
0.00693433     1940.56
0.00786548     1941.87
0.00879745     1943.14
0.0097302     1944.37
0.0106637     1945.57
0.0115978     1946.74
0.0125326     1947.88
0.013468     1948.99
0.014404     1950.07
0.0153404     1951.13
0.0162774     1952.16
0.0172149     1953.17
0.0181528     1954.15
0.0190911     1955.12
0.0200298     1956.06
0.0209689     1956.99
0.0219084     1957.9
0.0228482     1958.78
0.0237884     1959.66
0.0247289     1960.51
0.0256696     1961.35
0.0266107     1962.18
0.027552     1962.99
0.0274212     1877.46
0.0272904     1791.93
0.0271596     1706.4
0.0270288     1620.86
0.026898     1535.33
0.0267672     1449.8
0.0266364     1364.27
0.0265055     1278.74
0.0263747     1193.21
0.0262439     1107.68
0.0261131     1022.15
0.0259823     936.617
0.0258515     851.086
0.0257207     765.555
0.0255899     680.024
0.025459     594.493
0.0253282     508.962
0.0251974     423.431
0.0250666     337.9
0.0249358     252.369
0.024805     166.838
0.0246742     81.3073
0.0245434     -4.22365
0.0244126     -89.7546
0.0242817     -175.286
0.0241509     -260.817
0.0240201     -346.347
0.0238893     -431.878
0.0237585     -517.409
0.0236277     -602.94
0.0234969     -688.471
0.0233661     -774.002
0.0232352     -859.533
0.0231044     -945.064
0.0229736     -1030.6
0.0228428     -1116.13
0.022712     -1201.66
0.0225812     -1287.19
0.0224504     -1372.72
0.0223196     -1458.25
0.0221887     -1543.78
0.0220583     -1628.99
0.021926     -1707.99
0.0217436     -1763.83
0.0214468     -1798.25
0.0210269     -1821.48
0.0204994     -1838.52
0.0198865     -1851.72
0.0192082     -1862.33
0.0184803     -1871.11
0.0177146     -1878.55
0.0169199     -1884.98
0.0161025     -1890.61
0.015267     -1895.62
0.0144171     -1900.11
0.0135552     -1904.19
0.0126836     -1907.91
0.0118038     -1911.34
0.0109171     -1914.51
0.0100245     -1917.45
0.00912686     -1920.21
0.00822482     -1922.8
0.00731894     -1925.23
0.0064097     -1927.53
0.00549749     -1929.72
0.00458264     -1931.79
0.00366543     -1933.76
0.00274611     -1935.65
0.00182488     -1937.46
0.000901934     -1939.19
-2.25806e-05     -1940.85
-0.000948522     -1942.45
-0.00187577     -1943.99
-0.00280421     -1945.47
-0.00373375     -1946.91
-0.0046643     -1948.29
-0.0055958     -1949.64
-0.00652816     -1950.94
-0.00746133     -1952.2
-0.00839525     -1953.43
-0.00932988     -1954.62
-0.0102652     -1955.78
-0.0112011     -1956.91
-0.0121375     -1958.01
-0.0130745     -1959.09
-0.0140121     -1960.13
-0.0149501     -1961.16
-0.0158885     -1962.16
-0.0168274     -1963.13
-0.0177667     -1964.09
-0.0187064     -1965.02
-0.0196464     -1965.94
-0.0205868     -1966.84
-0.0215275     -1967.72
-0.0224685     -1968.58
-0.0234099     -1969.42
-0.0243515     -1970.25
-0.0252934     -1971.07
-0.0262355     -1971.87
-0.0271779     -1972.66
-0.0270471     -1887.13
-0.0269163     -1801.59
-0.0267855     -1716.06
-0.0266547     -1630.53
-0.0265239     -1545
-0.026393     -1459.47
-0.0262622     -1373.94
-0.0261314     -1288.41
-0.0260006     -1202.88
-0.0258698     -1117.35
-0.025739     -1031.82
-0.0256082     -946.285
-0.0254774     -860.754
-0.0253465     -775.223
-0.0252157     -689.692
-0.0250849     -604.161
-0.0249541     -518.63
-0.0248233     -433.099
-0.0246925     -347.568
-0.0245617     -262.037
-0.0244309     -176.506
-0.0243     -90.9753
-0.0241692     -5.44435
-0.0240384     80.0866
-0.0239076     165.618
-0.0237768     251.149
-0.023646     336.679
-0.0235152     422.21
-0.0233844     507.741
-0.0232535     593.272
-0.0231227     678.803
-0.0229919     764.334
-0.0228611     849.865
-0.0227303     935.396
-0.0225995     1020.93
-0.0224687     1106.46
-0.0223379     1191.99
-0.0222071     1277.52
-0.0220762     1363.05
-0.0219454     1448.58
-0.0218146     1534.11
-0.0216842     1619.33
-0.0215524     1698.56
-0.0213746     1755.01
-0.0210882     1789.96
-0.0206816     1813.63
-0.0201682     1831.04
-0.0195685     1844.54
-0.0189019     1855.4
-0.0181843     1864.4
-0.0174276     1872.02
-0.0166406     1878.6
-0.01583     1884.37
-0.0150005     1889.49
-0.0141558     1894.09
-0.0132987     1898.25
-0.0124313     1902.06
-0.0115553     1905.56
-0.0106721     1908.79
-0.00978269     1911.8
-0.00888795     1914.62
-0.0079886     1917.25
-0.00708522     1919.74
-0.0061783     1922.09
-0.00526826     1924.31
-0.00435544     1926.42
-0.00344014     1928.44
-0.00252261     1930.36
-0.00160307     1932.2
-0.000681722     1933.96
0.000241277     1935.65
0.00116578     1937.28
0.00209165     1938.84
0.00301879     1940.36
0.00394708     1941.82
0.00487645     1943.23
0.0058068     1944.59
0.00673807     1945.92
0.00767019     1947.2
0.0086031     1948.45
0.00953675     1949.66
0.0104711     1950.84
0.0114061     1951.99
0.0123417     1953.11
0.0132778     1954.2
0.0142146     1955.27
0.0151518     1956.31
0.0160895     1957.32
0.0170276     1958.31
0.0179662     1959.28
0.0189051     1960.23
0.0198445     1961.16
0.0207842     1962.07
0.0217243     1962.97
0.0226647     1963.84
0.0236054     1964.7
0.0245465     1965.54
0.0254878     1966.37
0.0264293     1967.18
0.0273712     1967.98
0.0272077     1861.07
0.0270442     1754.15
0.0268806     1647.24
0.0267171     1540.33
0.0265536     1433.41
0.0263901     1326.5
0.0262266     1219.59
0.0260631     1112.67
0.0258996     1005.76
0.025736     898.845
0.0255725     791.931
0.025409     685.018
0.0252455     578.104
0.025082     471.19
0.0249185     364.276
0.0247549     257.363
0.0245914     150.449
0.0244279     43.5354
0.0242644     -63.3783
0.0241009     -170.292
0.0239374     -277.206
0.0237739     -384.119
0.0236103     -491.033
0.0234468     -597.947
0.0232833     -704.86
0.0231198     -811.774
0.0229563     -918.688
0.0227928     -1025.6
0.0226293     -1132.52
0.0224657     -1239.43
0.0223022     -1346.34
0.0221387     -1453.26
0.0219752     -1560.16
0.0218127     -1665.36
0.0216206     -1747.87
0.021275     -1794.19
0.0207406     -1822.42
0.0200469     -1841.93
0.0192349     -1856.46
0.0183384     -1867.82
0.0173817     -1877.05
0.0163813     -1884.77
0.0153487     -1891.38
0.0142915     -1897.13
0.0132153     -1902.21
0.0121242     -1906.77
0.011021     -1910.88
0.009908     -1914.64
0.0087869     -1918.08
0.00765902     -1921.27
0.00652539     -1924.24
0.00538685     -1927.01
0.00424409     -1929.61
0.00309765     -1932.05
0.001948     -1934.37
0.000795524     -1936.56
-0.000359463     -1938.64
-0.00151668     -1940.63
-0.00267591     -1942.52
-0.00383693     -1944.34
-0.00499957     -1946.08
-0.00616369     -1947.75
-0.00732916     -1949.36
-0.00849585     -1950.92
-0.00966366     -1952.41
-0.0108325     -1953.86
-0.0120023     -1955.26
-0.013173     -1956.62
-0.0143445     -1957.93
-0.0155167     -1959.21
-0.0166897     -1960.45
-0.0178633     -1961.65
-0.0190376     -1962.83
-0.0202124     -1963.97
-0.0213877     -1965.09
-0.0225636     -1966.18
-0.02374     -1967.24
-0.0249168     -1968.28
-0.026094     -1969.29
-0.0272716     -1970.28
-0.0284496     -1971.25
-0.029628     -1972.21
-0.0308067     -1973.14
-0.0319858     -1974.05
-0.0331651     -1974.94
-0.0343448     -1975.82
-0.0355247     -1976.69
-0.036705     -1977.53
-0.0378854     -1978.36
-0.0390662     -1979.18
-0.0402471     -1979.98
-0.0414283     -1980.77
-0.0427461     -1981.64
-0.0442957     -1982.64
-0.0458465     -1983.62
-0.0473983     -1984.58
-0.0489512     -1985.52
-0.050505     -1986.44
-0.0520597     -1987.35
-0.0536152     -1988.24
-0.053419     -1859.95
-0.0532228     -1731.65
-0.0530266     -1603.36
-0.0528303     -1475.06
-0.0526341     -1346.76
-0.0524379     -1218.47
-0.0522417     -1090.17
-0.0520455     -961.873
-0.0518493     -833.577
-0.051653     -705.281
-0.0514568     -576.984
-0.0512606     -448.688
-0.0510644     -320.391
-0.0508682     -192.095
-0.0506719     -63.7984
-0.0504757     64.498
-0.0502795     192.794
-0.0500833     321.091
-0.0498871     449.387
-0.0496909     577.684
-0.0494946     705.98
-0.0492984     834.277
-0.0491022     962.573
-0.048906     1090.87
-0.0487098     1219.17
-0.0485136     1347.46
-0.0483173     1475.76
-0.0481214     1603.8
-0.0479147     1716.29
-0.0475356     1778.28
-0.0468928     1812.28
-0.0460327     1834.47
-0.0450202     1850.42
-0.0439053     1862.63
-0.0427208     1872.41
-0.0414875     1880.51
-0.0402193     1887.4
-0.0389249     1893.37
-0.0376108     1898.63
-0.0362813     1903.33
-0.0349394     1907.57
-0.0335876     1911.44
-0.0322277     1914.99
-0.030861     1918.27
-0.0294885     1921.31
-0.0281112     1924.16
-0.0267297     1926.83
-0.0253445     1929.35
-0.0239562     1931.73
-0.0225652     1933.98
-0.0211716     1936.13
-0.0197759     1938.17
-0.0183782     1940.12
-0.0169787     1941.99
-0.0155776     1943.78
-0.0141751     1945.51
-0.0127713     1947.17
-0.0113662     1948.77
-0.00996011     1950.31
-0.00855297     1951.8
-0.00714489     1953.25
-0.00573594     1954.65
-0.00432619     1956.01
-0.0029157     1957.33
-0.00150451     1958.61
-9.26792e-05     1959.86
0.00131976     1961.07
0.00273277     1962.26
0.00414632     1963.41
0.00556037     1964.54
0.00697489     1965.64
0.00838985     1966.72
0.00980524     1967.77
0.011221     1968.8
0.0126372     1969.81
0.0140537     1970.8
0.0154706     1971.76
0.0168878     1972.71
0.0183053     1973.64
0.0197231     1974.56
0.0211412     1975.46
0.0225596     1976.34
0.0239782     1977.2
0.025397     1978.05
0.0268161     1978.89
0.0282355     1979.72
0.029655     1980.53
0.0312161     1981.4
0.0330825     1982.43
0.03495     1983.44
0.0368186     1984.44
0.0386881     1985.41
0.0405586     1986.37
0.04243     1987.31
0.0443023     1988.23
0.0461754     1989.14
0.0480493     1990.03
0.0499239     1990.91
0.0517993     1991.78
0.0536753     1992.63
0.0534791     1864.34
0.0532829     1736.04
0.0530867     1607.74
0.0528904     1479.45
0.0526942     1351.15
0.052498     1222.85
0.0523018     1094.56
0.0521056     966.262
0.0519093     837.965
0.0517131     709.669
0.0515169     581.372
0.0513207     453.076
0.0511245     324.78
0.0509283     196.483
0.050732     68.1867
0.0505358     -60.1097
0.0503396     -188.406
0.0501434     -316.703
0.0499472     -444.999
0.049751     -573.295
0.0495547     -701.592
0.0493585     -829.888
0.0491623     -958.185
0.0489661     -1086.48
0.0487699     -1214.78
0.0485736     -1343.07
0.0483774     -1471.37
0.0481815     -1599.43
0.0479745     -1712.43
0.0475944     -1775.16
0.0469492     -1809.47
0.0460867     -1831.79
0.0450724     -1847.83
0.043956     -1860.11
0.0427703     -1869.93
0.0415362     -1878.07
0.0402671     -1884.99
0.0389722     -1890.99
0.0376576     -1896.28
0.0363275     -1901
0.0349853     -1905.26
0.0336332     -1909.15
0.0322729     -1912.71
0.0309059     -1916.01
0.0295332     -1919.07
0.0281557     -1921.93
0.026774     -1924.62
0.0253887     -1927.15
0.0240002     -1929.54
0.0226089     -1931.8
0.0212152     -1933.96
0.0198194     -1936.01
0.0184215     -1937.97
0.0170219     -1939.85
0.0156208     -1941.65
0.0142181     -1943.39
0.0128142     -1945.05
0.0114091     -1946.66
0.0100029     -1948.21
0.00859563     -1949.71
0.00718747     -1951.17
0.00577845     -1952.57
0.00436863     -1953.94
0.00295807     -1955.27
0.00154681     -1956.56
0.000134916     -1957.81
-0.00127759     -1959.03
-0.00269066     -1960.22
-0.00410426     -1961.38
-0.00551836     -1962.52
-0.00693293     -1963.62
-0.00834795     -1964.7
-0.00976338     -1965.76
-0.0111792     -1966.8
-0.0125954     -1967.81
-0.014012     -1968.8
-0.0154289     -1969.77
-0.0168462     -1970.73
-0.0182637     -1971.66
-0.0196815     -1972.58
-0.0210997     -1973.48
-0.0225181     -1974.37
-0.0239367     -1975.24
-0.0253556     -1976.1
-0.0267747     -1976.94
-0.0281941     -1977.77
-0.0296137     -1978.58
-0.0311962     -1979.47
-0.0330625     -1980.51
-0.03493     -1981.52
-0.0367984     -1982.52
-0.0386679     -1983.5
-0.0405384     -1984.46
-0.0424097     -1985.4
-0.0442819     -1986.33
-0.046155     -1987.24
-0.0480288     -1988.14
-0.0499034     -1989.02
-0.0517787     -1989.9
-0.0536547     -1990.75
-0.0534584     -1862.46
-0.0532622     -1734.16
-0.053066     -1605.86
-0.0528698     -1477.57
-0.0526736     -1349.27
-0.0524773     -1220.97
-0.0522811     -1092.68
-0.0520849     -964.381
-0.0518887     -836.085
-0.0516925     -707.788
-0.0514963     -579.492
-0.0513     -451.195
-0.0511038     -322.899
-0.0509076     -194.603
-0.0507114     -66.3061
-0.0505152     61.9903
-0.0503189     190.287
-0.0501227     318.583
-0.0499265     446.88
-0.0497303     575.176
-0.0495341     703.472
-0.0493379     831.769
-0.0491416     960.065
-0.0489454     1088.36
-0.0487492     1216.66
-0.048553     1344.95
-0.0483568     1473.25
-0.0481608     1601.3
-0.047954     1714.09
-0.0475741     1776.51
-0.0469297     1810.69
-0.0460681     1832.95
-0.0450544     1848.95
-0.0439385     1861.2
-0.0427532     1871
-0.0415193     1879.12
-0.0402505     1886.03
-0.0389558     1892.01
-0.0376413     1897.29
-0.0363115     1902
-0.0349693     1906.26
-0.0336173     1910.13
-0.0322572     1913.69
-0.0308903     1916.98
-0.0295176     1920.04
-0.0281402     1922.89
-0.0267585     1925.57
-0.0253733     1928.09
-0.0239848     1930.48
-0.0225936     1932.74
-0.0212     1934.89
-0.0198042     1936.94
-0.0184064     1938.9
-0.0170068     1940.77
-0.0156057     1942.57
-0.0142031     1944.3
-0.0127992     1945.96
-0.0113941     1947.57
-0.00998789     1949.11
-0.00858068     1950.61
-0.00717254     1952.06
-0.00576354     1953.47
-0.00435375     1954.83
-0.0029432     1956.15
-0.00153197     1957.44
-0.000120092     1958.69
0.00129239     1959.91
0.00270544     1961.1
0.00411903     1962.25
0.00553311     1963.38
0.00694767     1964.49
0.00836267     1965.57
0.0097781     1966.62
0.0111939     1967.66
0.0126101     1968.67
0.0140267     1969.66
0.0154436     1970.63
0.0168608     1971.58
0.0182783     1972.51
0.0196962     1973.43
