U_Link_disp     U_Link_shear
-0.00491927     -1358.58
-0.00540157     -1362.34
-0.00592258     -1365.8
-0.00647917     -1369
-0.00706819     -1371.96
-0.00768662     -1374.7
-0.0083316     -1377.26
-0.0090005     -1379.64
-0.00969095     -1381.86
-0.0104008     -1383.95
-0.0111281     -1385.91
-0.0118713     -1387.76
-0.0126286     -1389.5
-0.0133989     -1391.15
-0.014181     -1392.72
-0.0149737     -1394.21
-0.0157761     -1395.62
-0.0165875     -1396.98
-0.017407     -1398.27
-0.0182339     -1399.51
-0.0190677     -1400.69
-0.0199079     -1401.83
-0.0207539     -1402.93
-0.0216053     -1403.99
-0.0224618     -1405.01
-0.0233229     -1405.99
-0.0241883     -1406.94
-0.0250578     -1407.86
-0.0249289     -1348.38
-0.0248     -1288.91
-0.0246712     -1229.43
-0.0245423     -1169.96
-0.0244135     -1110.49
-0.0242846     -1051.01
-0.0241557     -991.536
-0.0240269     -932.061
-0.023898     -872.587
-0.0237692     -813.112
-0.0236403     -753.638
-0.0235114     -694.163
-0.0233826     -634.688
-0.0232537     -575.214
-0.0231248     -515.739
-0.022996     -456.265
-0.0228671     -396.79
-0.0227383     -337.315
-0.0226094     -277.841
-0.0224805     -218.366
-0.0223517     -158.892
-0.0222228     -99.4171
-0.022094     -39.9425
-0.0219651     19.5321
-0.0218362     79.0067
-0.0217074     138.481
-0.0215785     197.956
-0.0214496     257.43
-0.0213208     316.905
-0.0211919     376.38
-0.0210631     435.854
-0.0209342     495.329
-0.0208053     554.803
-0.0206765     614.278
-0.0205476     673.753
-0.0204188     733.227
-0.0202899     792.702
-0.020161     852.176
-0.0200322     911.651
-0.0199033     971.126
-0.0197745     1030.57
-0.0196487     1088.64
-0.0195456     1136.15
-0.0194772     1166.63
-0.0194232     1187.32
-0.0193695     1203.39
-0.0193075     1216.95
-0.0192299     1228.94
-0.0191293     1239.81
-0.0189976     1249.81
-0.0188265     1259.06
-0.018608     1267.64
-0.0183347     1275.58
-0.0180009     1282.92
-0.0176029     1289.69
-0.0171395     1295.9
-0.0166115     1301.61
-0.0160214     1306.83
-0.0153729     1311.62
-0.0146705     1316.02
-0.013919     1320.06
-0.0131231     1323.79
-0.0122871     1327.23
-0.0114154     1330.42
-0.0105117     1333.38
-0.00957926     1336.15
-0.00862124     1338.73
-0.00764025     1341.16
-0.00663864     1343.44
-0.00561846     1345.59
-0.00458155     1347.62
-0.00352949     1349.54
-0.00246371     1351.37
-0.00138545     1353.11
-0.000295827     1354.77
0.000804187     1356.35
0.00191371     1357.87
0.00303197     1359.32
0.00415826     1360.71
0.00529196     1362.06
0.0064325     1363.35
0.00757938     1364.59
0.00873214     1365.79
0.00989037     1366.95
0.0110537     1368.07
0.0122217     1369.16
0.0133942     1370.21
0.0145709     1371.24
0.0157514     1372.23
0.0169356     1373.19
0.0181232     1374.13
0.0193141     1375.05
0.0205079     1375.94
0.0217047     1376.8
0.0229042     1377.65
0.0241062     1378.47
0.0253106     1379.28
0.0265174     1380.07
0.0277263     1380.84
0.0289374     1381.6
0.0288085     1322.12
0.0286796     1262.65
0.0285508     1203.17
0.0284219     1143.7
0.028293     1084.22
0.0281642     1024.75
0.0280353     965.273
0.0279065     905.798
0.0277776     846.324
0.0276487     786.849
0.0275199     727.375
0.027391     667.9
0.0272622     608.425
0.0271333     548.951
0.0270044     489.476
0.0268756     430.002
0.0267467     370.527
0.0266178     311.052
0.026489     251.578
0.0263601     192.103
0.0262313     132.629
0.0261024     73.1541
0.0259735     13.6795
0.0258447     -45.7951
0.0257158     -105.27
0.025587     -164.744
0.0254581     -224.219
0.0253292     -283.694
0.0252004     -343.168
0.0250715     -402.643
0.0249426     -462.117
0.0248138     -521.592
0.0246849     -581.066
0.0245561     -640.541
0.0244272     -700.016
0.0242983     -759.49
0.0241695     -818.965
0.0240406     -878.439
0.0239118     -937.914
0.0237829     -997.389
0.0236541     -1056.83
0.0235285     -1114.8
0.0234268     -1161.71
0.0233591     -1191.56
0.0233037     -1211.87
0.0232459     -1227.69
0.023176     -1241.05
0.0230851     -1252.84
0.0229643     -1263.5
0.0228039     -1273.25
0.0225944     -1282.2
0.0223273     -1290.43
0.0219957     -1297.98
0.0215954     -1304.89
0.0211249     -1311.19
0.0205855     -1316.93
0.0199803     -1322.15
0.0193138     -1326.91
0.0185912     -1331.26
0.017818     -1335.23
0.0169996     -1338.87
0.0161407     -1342.22
0.0152461     -1345.32
0.0143196     -1348.19
0.0133649     -1350.86
0.0123852     -1353.35
0.0113831     -1355.68
0.010361     -1357.87
0.00932101     -1359.93
0.008265     -1361.87
0.00719453     -1363.71
0.00611101     -1365.46
0.00501566     -1367.12
0.00390957     -1368.7
0.00279369     -1370.21
0.00166887     -1371.66
0.000535866     -1373.04
-0.00060465     -1374.37
-0.00175208     -1375.65
-0.00290588     -1376.87
-0.00406557     -1378.06
-0.00523072     -1379.2
-0.00640093     -1380.3
-0.00757584     -1381.37
-0.00875514     -1382.41
-0.00993852     -1383.41
-0.0111257     -1384.38
-0.0123165     -1385.32
-0.0135106     -1386.24
-0.0147079     -1387.13
-0.0159081     -1388
-0.0171111     -1388.85
-0.0183167     -1389.67
-0.0195248     -1390.48
-0.0207353     -1391.26
-0.0219479     -1392.03
-0.0231627     -1392.78
-0.0243794     -1393.51
-0.025598     -1394.23
-0.0268184     -1394.93
-0.0266895     -1335.46
-0.0265607     -1275.99
-0.0264318     -1216.51
-0.026303     -1157.04
-0.0261741     -1097.56
-0.0260452     -1038.09
-0.0259164     -978.612
-0.0257875     -919.138
-0.0256587     -859.663
-0.0255298     -800.189
-0.0254009     -740.714
-0.0252721     -681.239
-0.0251432     -621.765
-0.0250143     -562.29
-0.0248855     -502.816
-0.0247566     -443.341
-0.0246278     -383.866
-0.0244989     -324.392
-0.02437     -264.917
-0.0242412     -205.443
-0.0241123     -145.968
-0.0239834     -86.4935
-0.0238546     -27.0189
-0.0237257     32.4557
-0.0235969     91.9303
-0.023468     151.405
-0.0233391     210.879
-0.0232103     270.354
-0.0230814     329.829
-0.0229526     389.303
-0.0228237     448.778
-0.0226948     508.252
-0.022566     567.727
-0.0224371     627.202
-0.0223082     686.676
-0.0221794     746.151
-0.0220505     805.625
-0.0219217     865.1
-0.0217928     924.575
-0.0216639     984.049
-0.0215352     1043.49
-0.0214095     1101.5
-0.0213073     1148.62
-0.0212394     1178.7
-0.0211851     1199.15
-0.02113     1215.06
-0.021065     1228.51
-0.0209822     1240.4
-0.0208736     1251.17
-0.0207304     1261.05
-0.0205438     1270.17
-0.0203052     1278.59
-0.0200075     1286.36
-0.0196455     1293.51
-0.0192164     1300.07
-0.0187199     1306.07
-0.0181578     1311.55
-0.0175336     1316.57
-0.0168518     1321.15
-0.0161174     1325.35
-0.0153353     1329.21
-0.0145106     1332.76
-0.0136476     1336.04
-0.0127507     1339.08
-0.0118233     1341.91
-0.010869     1344.54
-0.00989048     1347
-0.00889038     1349.32
-0.00787091     1351.49
-0.00683403     1353.54
-0.00578147     1355.48
-0.00471473     1357.32
-0.00363515     1359.07
-0.00254389     1360.74
-0.001442     1362.32
-0.000330395     1363.84
0.000790102     1365.29
0.00191876     1366.69
0.00305493     1368.02
0.00419803     1369.31
0.00534752     1370.55
0.00650294     1371.75
0.00766385     1372.9
0.00882988     1374.02
0.0100007     1375.1
0.0111759     1376.14
0.0123552     1377.16
0.0135385     1378.14
0.0147254     1379.1
0.0159157     1380.03
0.0171092     1380.93
0.0183057     1381.81
0.0195051     1382.67
0.0207071     1383.51
0.0219117     1384.33
0.0231187     1385.12
0.0243279     1385.9
0.0255393     1386.66
